           flux         loglam           ivar
              E              E              E
                                             
   1.618589E+01   3.606800E+00   1.534409E-01
   1.031073E+01   3.606900E+00   1.543937E-01
   1.079707E+01   3.607000E+00   1.439152E-01
   1.272533E+01   3.607100E+00   1.240650E-01
   1.211058E+01   3.607200E+00   1.094625E-01
   1.553780E+01   3.607300E+00   1.050664E-01
   1.690630E+01   3.607400E+00   1.156078E-01
   1.248475E+01   3.607500E+00   1.335237E-01
   5.918421E+00   3.607600E+00   1.576812E-01
   1.509019E+01   3.607700E+00   1.518710E-01
   1.321889E+01   3.607800E+00   1.571830E-01
   1.266572E+01   3.607900E+00   1.597940E-01
   1.273283E+01   3.608000E+00   1.622438E-01
   1.298717E+01   3.608100E+00   1.653560E-01
   1.495833E+01   3.608200E+00   1.579923E-01
   1.605372E+01   3.608300E+00   1.568747E-01
   1.423504E+01   3.608400E+00   1.575373E-01
   1.310450E+01   3.608500E+00   1.589534E-01
   1.259384E+01   3.608600E+00   1.576972E-01
   1.018672E+01   3.608700E+00   1.702614E-01
   1.142723E+01   3.608800E+00   1.682650E-01
   1.370045E+01   3.608900E+00   1.690679E-01
   1.170320E+01   3.609000E+00   1.752244E-01
   1.282133E+01   3.609100E+00   1.726791E-01
   1.331736E+01   3.609200E+00   1.604492E-01
   1.181548E+01   3.609300E+00   1.465307E-01
   1.276730E+01   3.609400E+00   1.398412E-01
   1.421402E+01   3.609500E+00   1.475680E-01
   1.313349E+01   3.609600E+00   1.658443E-01
   1.344696E+01   3.609700E+00   1.724686E-01
   1.226332E+01   3.609800E+00   1.801730E-01
   1.295879E+01   3.609900E+00   1.663305E-01
   1.597896E+01   3.610000E+00   1.619704E-01
   1.119916E+01   3.610100E+00   1.796103E-01
   1.416257E+01   3.610200E+00   1.793659E-01
   1.239758E+01   3.610300E+00   1.812464E-01
   1.115158E+01   3.610400E+00   1.858654E-01
   1.384229E+01   3.610500E+00   1.765840E-01
   1.140957E+01   3.610600E+00   1.713609E-01
   1.436856E+01   3.610700E+00   1.506088E-01
   1.437486E+01   3.610800E+00   1.534778E-01
   1.411755E+01   3.610900E+00   1.637093E-01
   1.345390E+01   3.611000E+00   1.802376E-01
   1.291785E+01   3.611100E+00   2.123189E-01
   1.175622E+01   3.611200E+00   2.198869E-01
   1.396075E+01   3.611300E+00   2.086118E-01
   1.365699E+01   3.611400E+00   1.918572E-01
   1.057380E+01   3.611500E+00   1.972577E-01
   1.269156E+01   3.611600E+00   1.845178E-01
   1.650903E+01   3.611700E+00   1.583956E-01
   1.471530E+01   3.611800E+00   1.618112E-01
   1.662279E+01   3.611900E+00   1.735413E-01
   8.299876E+00   3.612000E+00   2.251986E-01
   1.255904E+01   3.612100E+00   2.138941E-01
   1.345300E+01   3.612200E+00   2.060126E-01
   1.270483E+01   3.612300E+00   2.138391E-01
   1.091415E+01   3.612400E+00   2.227931E-01
   1.117017E+01   3.612500E+00   2.256734E-01
   1.410335E+01   3.612600E+00   2.158913E-01
   1.732515E+01   3.612700E+00   2.016803E-01
   1.615371E+01   3.612800E+00   2.007375E-01
   1.014972E+01   3.612900E+00   2.191995E-01
   1.058679E+01   3.613000E+00   2.364323E-01
   1.339816E+01   3.613100E+00   2.456695E-01
   1.098548E+01   3.613200E+00   2.470884E-01
   1.160569E+01   3.613300E+00   2.332807E-01
   1.262458E+01   3.613400E+00   2.218535E-01
   1.446439E+01   3.613500E+00   2.073049E-01
   1.321729E+01   3.613600E+00   2.051551E-01
   1.402384E+01   3.613700E+00   1.927976E-01
   1.358420E+01   3.613800E+00   1.936505E-01
   1.157296E+01   3.613900E+00   2.061390E-01
   1.523086E+01   3.614000E+00   1.973366E-01
   1.051379E+01   3.614100E+00   2.197568E-01
   1.391517E+01   3.614200E+00   2.032572E-01
